scraped_date,publish_date,title,company,location,contract_type,education_level,experience_level,key_skills,sector,offer_url,source,min_exp,max_exp,min_education,education_rank,latitude,longitude,coordinates
2026-05-08,2026-05-08,Chauffeur Humanitaire,NOMAD AID,Dakar,CDI,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",Transport,Activités associatives,https://www.emploisenegal.com/offre-emploi-senegal/chauffeur-humanitaire-dakar-1566752,EmploiSénégal,0,1,Avant Bac,0,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-07,Chef D’Équipe / Expert Principal International,CPHDA,Dakar,CDD,Bac+5 et plus,Expérience > 10 ans,N/A,Activités associatives,https://www.emploisenegal.com/offre-emploi-senegal/cheffe-equipe-experte-principale-internationale-mauritanie-senegal-mali-guinee,EmploiSénégal,10,15,Bac+5,6,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-26,Commercial Terrain Et Partenariats,NETVOX,Dakar,CDI,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,"Communication, Développement Commercial, Marketing, Prospection, Vente",Activités associatives,https://www.emploisenegal.com/offre-emploi-senegal/commerciale-terrain-partenariats-secteur-sport-hf-dakar-1545137,EmploiSénégal,0,2,Bac,1,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-31,Assistante De Direction,MOYA TALENT,Étranger,CDI,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","Assistanat, Finance, Gestion",Administration publique,https://www.emploisenegal.com/offre-emploi-senegal/assistante-direction-teletravail-1546876,EmploiSénégal,0,1,Bac,1,0.0,0.0,"[0, 0]"
2026-05-08,2026-04-30,Chef De Culture Légumière,AFRICAWORK,Dakar,CDD,"Bac+2, Bac+3, Bac+4 - Bac+5 et plus",Expérience entre 5 ans et 10 ans - Expérience > 10 ans,"Exploitation, Fertigation, Fertilisation, Irrigation, Maintenance, Production, Qualité, Sécurité Alimentaire","Agriculture, pêche, aquaculture",https://www.emploisenegal.com/offre-emploi-senegal/chef-culture-legumiere-keur-momar-sarr-1561741,EmploiSénégal,5,10,Bac+2,3,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-27,Cuisinier,MANDARINE DAKAR,Dakar,CDD,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,"Cuisine, Cuisine Internationale, Hygiène, Maintenance, Normes de Qualité, Production, Qualité, Sécurité, Sécurité Alimentaire, Tourisme","Agriculture, pêche, aquaculture",https://www.emploisenegal.com/offre-emploi-senegal/cuisiniere-yenne-pres-toubab-dialaw-1564382,EmploiSénégal,0,2,Avant Bac,0,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-09,Responsable D´Exploitation,ATLANTIC MARICULTURE,Dakar,CDI,Bac+4 & Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,"Agroalimentaire, Amélioration Continue, Aquaculture, BPF, Exploitation, Extrusion, Fabrication, Génie Industriel, Gestion de la Production, Gestion de la Qualité, Hygiène, Maintenance, Maintenance Préventive, Management de Production, Normes de Qualité, Procédés, Process, Production, Qualité","Agriculture, pêche, aquaculture",https://www.emploisenegal.com/offre-emploi-senegal/responsable-exploitation-bokhol-departement-dagana-senegal-1554141,EmploiSénégal,5,10,Bac+4,5,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-01,Jardinier,BAIMA,Dakar,Freelance,Bac+2,Expérience entre 2 ans et 5 ans,"Maintenance, Production, Qualité","Agriculture, pêche, aquaculture",https://www.emploisenegal.com/offre-emploi-senegal/jardinier-dakar-mermoz-1549006,EmploiSénégal,2,5,Bac+2,3,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-18,Commercial De Terrain,HELLO CENTER,Thiès,Temps partiel,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,"Prospection, Prospection Client, Prospection Commerciale, Vente","Agriculture, pêche, aquaculture",https://www.emploisenegal.com/offre-emploi-senegal/commercial-terrain-mbour-1540296,EmploiSénégal,0,2,Bac,1,14.7833,-16.9167,"[14.7833, -16.9167]"
2026-05-08,2026-03-18,Commercial De Terrain,HELLO CENTER,Dakar,Temps partiel,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans & Expérience entre 2 ans et 5 ans,"Prospection, Prospection Client, Prospection Commerciale, Vente","Agriculture, pêche, aquaculture",https://www.emploisenegal.com/offre-emploi-senegal/commercial-terrain-dakar-1540286,EmploiSénégal,0,2,Bac+2,3,14.7167,-17.4677,"[14.7167, -17.4677]"
